iso_code,country,2022_last_updated,2020_population,area,growth_rate,world_%,rank,density_sq_km
CHN,China,"1,44,71,90,530","1,43,93,23,776","9,706,961 sq_km",0,0.18,1,149/sq_km
IND,India,"1,40,26,76,187","1,38,00,04,385","3,287,590 sq_km",0.01,0.18,2,428/sq_km
USA,United States,"33,42,33,147","33,10,02,651","9,372,610 sq_km",0.01,0.04,3,36/sq_km
IDN,Indonesia,"27,83,02,268","27,35,23,615","1,904,569 sq_km",0.01,0.04,4,147/sq_km
PAK,Pakistan,"22,82,07,905","22,08,92,340","881,912 sq_km",0.02,0.03,5,260/sq_km
NGA,Nigeria,"21,51,42,343","20,61,39,589","923,768 sq_km",0.03,0.03,6,235/sq_km
BRA,Brazil,"21,49,46,671","21,25,59,417","8,515,767 sq_km",0.01,0.03,7,25/sq_km
BGD,Bangladesh,"16,74,14,832","16,46,89,383","147,570 sq_km",0.01,0.02,8,"1,138/sq_km"
RUS,Russia,"14,58,32,988","14,59,34,462","17,098,242 sq_km",0,0.02,9,9/sq_km
MEX,Mexico,"13,11,73,256","12,89,32,753","1,964,375 sq_km",0.01,0.02,10,67/sq_km
JPN,Japan,"12,57,22,887","12,64,76,461","377,930 sq_km",0,0.02,11,332/sq_km
ETH,Ethiopia,"11,99,34,043","11,49,63,588","1,104,300 sq_km",0.02,0.02,12,109/sq_km
PHL,Philippines,"11,20,71,637","10,95,81,078","342,353 sq_km",0.01,0.01,13,329/sq_km
EGY,Egypt,"10,55,87,526","10,23,34,404","1,002,450 sq_km",0.02,0.01,14,106/sq_km
VNM,Vietnam,"9,87,16,854","9,73,38,579","331,212 sq_km",0.01,0.01,15,299/sq_km
IRN,Iran,"8,57,27,580","8,39,92,949","1,648,195 sq_km",0.01,0.01,17,52/sq_km
TUR,Turkey,"8,53,78,713","8,43,39,067","783,562 sq_km",0.01,0.01,18,109/sq_km
DEU,Germany,"8,38,72,648","8,37,83,942","357,114 sq_km",0,0.01,19,235/sq_km
THA,Thailand,"7,00,39,777","6,97,99,978","513,120 sq_km",0,0.01,20,137/sq_km
GBR,United Kingdom,"6,84,07,151","6,78,86,011","242,900 sq_km",0,0.01,21,282/sq_km
FRA,France,"6,55,37,443","6,52,73,511","551,695 sq_km",0,0.01,22,119/sq_km
TZA,Tanzania,"6,27,58,395","5,97,34,218","945,087 sq_km",0.03,0.01,23,67/sq_km
ZAF,South Africa,"6,05,41,562","5,93,08,690","1,221,037 sq_km",0.01,0.01,24,50/sq_km
ITA,Italy,"6,02,92,219","6,04,61,826","301,336 sq_km",0,0.01,25,200/sq_km
KEN,Kenya,"5,58,46,615","5,37,71,296","580,367 sq_km",0.02,0.01,26,97/sq_km
MMR,Myanmar,"5,51,04,749","5,44,09,800","676,578 sq_km",0.01,0.01,27,82/sq_km
COL,Colombia,"5,14,18,503","5,08,82,891","1,141,748 sq_km",0,0.01,28,45/sq_km
KOR,South Korea,"5,13,21,141","5,12,69,185","100,210 sq_km",0,0.01,29,512/sq_km
UGA,Uganda,"4,80,28,458","4,57,41,007","241,550 sq_km",0.03,0.01,30,201/sq_km
ESP,Spain,"4,67,26,696","4,67,54,778","505,992 sq_km",0,0.01,31,92/sq_km
ARG,Argentina,"4,58,89,044","4,51,95,774","2,780,400 sq_km",0.01,0.01,32,17/sq_km
SDN,Sudan,"4,56,68,737","4,38,49,260","1,886,068 sq_km",0.02,0.01,33,24/sq_km
DZA,Algeria,"4,51,30,977","4,38,51,044","2,381,741 sq_km",0.02,0.01,34,19/sq_km
UKR,Ukraine,"4,32,73,244","4,37,33,762","603,500 sq_km",-0.01,0.01,35,72/sq_km
IRQ,Iraq,"4,18,71,131","4,02,22,493","438,317 sq_km",0.02,0.01,36,96/sq_km
AFG,Afghanistan,"4,04,79,494","3,89,28,346","652,230 sq_km",0.02,0.01,37,62/sq_km
CAN,Canada,"3,82,91,861","3,77,42,154","9,984,670 sq_km",0.01,0,38,4/sq_km
MAR,Morocco,"3,76,45,107","3,69,10,560","446,550 sq_km",0.01,0,39,85/sq_km
POL,Poland,"3,77,57,958","3,78,46,611","312,679 sq_km",0,0,40,121/sq_km
SAU,Saudi Arabia,"3,56,90,876","3,48,13,871","2,149,690 sq_km",0.01,0,41,17/sq_km
AGO,Angola,"3,46,98,477","3,28,66,272","1,246,700 sq_km",0.03,0,42,28/sq_km
UZB,Uzbekistan,"3,42,48,523","3,34,69,203","447,400 sq_km",0.01,0,43,77/sq_km
PER,Peru,"3,35,80,096","3,29,71,854","1,285,216 sq_km",0.01,0,44,26/sq_km
MYS,Malaysia,"3,30,60,758","3,23,65,999","330,803 sq_km",0.01,0,45,100/sq_km
MOZ,Mozambique,"3,28,12,158","3,12,55,435","801,590 sq_km",0.03,0,46,41/sq_km
GHA,Ghana,"3,21,96,751","3,10,72,940","238,533 sq_km",0.02,0,47,136/sq_km
YEM,Yemen,"3,09,56,058","2,98,25,964","527,968 sq_km",0.02,0,48,59/sq_km
NPL,Nepal,"3,00,74,396","2,91,36,808","147,181 sq_km",0.02,0,49,205/sq_km
VEN,Venezuela,"2,91,40,765","2,84,35,940","916,445 sq_km",0.02,0,50,32/sq_km
MDG,Madagascar,"2,89,53,432","2,76,91,018","587,041 sq_km",0.03,0,51,50/sq_km
CMR,Cameroon,"2,77,05,405","2,65,45,863","475,442 sq_km",0.03,0,52,59/sq_km
CIV,Ivory Coast,"2,75,36,155","2,63,78,274","322,463 sq_km",0.03,0,53,86/sq_km
NER,Niger,"2,57,97,380","2,42,06,644","1,267,000 sq_km",0.04,0,54,21/sq_km
AUS,Australia,"2,59,83,839","2,54,99,884","7,692,024 sq_km",0.01,0,55,3/sq_km
PRK,North Korea,"2,59,59,697","2,57,78,816","120,538 sq_km",0,0,56,216/sq_km
TWN,Taiwan,"2,38,78,414","2,38,16,775","36,193 sq_km",0,0,57,660/sq_km
BFA,Burkina Faso,"2,19,20,998","2,09,03,273","272,967 sq_km",0.03,0,58,81/sq_km
LKA,Sri Lanka,"2,15,52,195","2,14,13,249","65,610 sq_km",0,0,59,329/sq_km
MLI,Mali,"2,12,88,312","2,02,50,833","1,240,192 sq_km",0.03,0,60,17/sq_km
MWI,Malawi,"2,00,21,332","1,91,29,952","118,484 sq_km",0.03,0,61,170/sq_km
ZMB,Zambia,"1,93,05,254","1,83,83,955","752,612 sq_km",0.03,0,62,26/sq_km
SYR,Syria,"1,91,03,928","1,75,00,658","185,180 sq_km",0.06,0,63,105/sq_km
CHL,Chile,"1,92,30,489","1,91,16,201","756,102 sq_km",0,0,64,25/sq_km
KAZ,Kazakhstan,"1,91,42,094","1,87,76,707","2,724,900 sq_km",0.01,0,65,7/sq_km
ROU,Romania,"1,90,61,769","1,92,37,691","238,391 sq_km",-0.01,0,66,80/sq_km
GTM,Guatemala,"1,84,84,197","1,79,15,568","108,889 sq_km",0.02,0,67,171/sq_km
ECU,Ecuador,"1,80,43,625","1,76,43,054","276,841 sq_km",0.01,0,68,65/sq_km
SEN,Senegal,"1,75,16,498","1,67,43,927","196,722 sq_km",0.03,0,69,90/sq_km
TCD,Chad,"1,72,64,255","1,64,25,864","1,284,000 sq_km",0.03,0,70,14/sq_km
NLD,Netherlands,"1,72,00,171","1,71,34,872","41,850 sq_km",0,0,71,411/sq_km
KHM,Cambodia,"1,71,02,187","1,67,18,965","181,035 sq_km",0.01,0,72,95/sq_km
SOM,Somalia,"1,66,97,615","1,58,93,222","637,657 sq_km",0.03,0,73,26/sq_km
ZWE,Zimbabwe,"1,52,58,955","1,48,62,924","390,757 sq_km",0.02,0,74,39/sq_km
GIN,Guinea,"1,37,55,558","1,31,32,795","245,857 sq_km",0.03,0,75,56/sq_km
RWA,Rwanda,"1,35,03,578","1,29,52,218","26,338 sq_km",0.02,0,76,516/sq_km
BEN,Benin,"1,26,84,665","1,21,23,200","112,622 sq_km",0.03,0,77,114/sq_km
BDI,Burundi,"1,25,14,269","1,18,90,784","27,834 sq_km",0.03,0,78,454/sq_km
TUN,Tunisia,"1,20,13,594","1,18,18,619","163,610 sq_km",0.01,0,79,74/sq_km
BOL,Bolivia,"1,19,44,924","1,16,73,021","1,098,581 sq_km",0.01,0,80,11/sq_km
HTI,Haiti,"1,16,38,901","1,14,02,528","27,750 sq_km",0.01,0,81,421/sq_km
BEL,Belgium,"1,16,56,564","1,15,89,623","30,528 sq_km",0,0,82,382/sq_km
SSD,South Sudan,"1,15,52,059","1,11,93,725","619,745 sq_km",0.02,0,83,19/sq_km
CUB,Cuba,"1,13,08,936","1,13,26,616","109,884 sq_km",0,0,84,103/sq_km
DOM,Dominican Republic,"1,10,25,607","1,08,47,910","48,671 sq_km",0.01,0,85,227/sq_km
CZE,Czech Republic,"1,07,33,281","1,07,08,981","78,865 sq_km",0,0,86,136/sq_km
GRC,Greece,"1,03,32,402","1,04,23,054","131,990 sq_km",-0.01,0,87,78/sq_km
JOR,Jordan,"1,02,83,134","1,02,03,134","89,342 sq_km",0,0,88,115/sq_km
AZE,Azerbaijan,"1,02,76,887","1,01,39,177","86,600 sq_km",0.01,0,89,119/sq_km
HND,Honduras,"1,01,73,953","99,04,607","112,492 sq_km",0.02,0,90,91/sq_km
SWE,Sweden,"1,02,01,236","1,00,99,265","450,295 sq_km",0.01,0,91,23/sq_km
PRT,Portugal,"1,01,49,219","1,01,96,709","92,090 sq_km",0,0,92,110/sq_km
ARE,United Arab Emirates,"1,00,53,540","98,90,402","83,600 sq_km",0.01,0,93,121/sq_km
TJK,Tajikistan,"98,95,282","95,37,645","143,100 sq_km",0.02,0,94,70/sq_km
HUN,Hungary,"96,14,798","96,60,351","93,028 sq_km",0,0,95,103/sq_km
BLR,Belarus,"94,35,756","94,49,323","207,600 sq_km",0,0,96,45/sq_km
