,Product,Price,Ratings,Warranty,No of Ratings,No of Reviews,Features
0,"APPLE iPhone XR (White, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
1,"APPLE iPhone XR (Black, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
2,"APPLE iPhone XR (Yellow, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
3,"APPLE iPhone 8 (Space Grey, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
4,"APPLE iPhone 8 (Silver, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
5,"APPLE iPhone 8 (Gold, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
6,"APPLE iPhone 7 Plus (Black, 32 GB)","₹36,999",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
7,"APPLE iPhone XR ((PRODUCT)RED, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
8,"APPLE iPhone XR (Blue, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera"
9,"APPLE iPhone 7 Plus (Black, 256 GB)","₹85,400",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
